BuiltUpSize,City,Furnishing,NoOfBathroom,NoOfBedroom,NoOfParking,Postcode,PropertyName,RentalPerMth
1184,Desa ParkCity,Fully Furnished,2,3,0,52000,Nadia,2600
1085,Sentul,Fully Furnished,2,3,0,51100,The Saffron,2200
1440,Setapak,Fully Furnished,3,3,2,53200,The Reach @ Titiwangsa,3000
1081,Sentul,Fully Furnished,2,3,1,51100,The Saffron,2300
1011,Jalan Ipoh,Fully Furnished,2,3,1,52100,Alam Puri,1800
1011,Jalan Ipoh,Fully Furnished,2,3,1,52100,Alam Puri,2000
1009,Jalan Ipoh,Fully Furnished,2,3,1,52100,Alam Puri,1800
1253,Dutamas,Fully Furnished,2,3,2,52100,28 Dutamas,3000
1081,Sentul,Fully Furnished,2,3,0,51100,1 Sentul,2000
1100,Kuchai Lama,Unfurnished,2,3,0,58200,De Tropicana,1600
1182,KLCC,Fully Furnished,2,3,1,50250,The Crest,3700
1129,Taman Desa,Fully Furnished,2,3,2,58100,Casa Desa,2200
1500,Bukit Kiara,Fully Furnished,3,3,0,50480,Mont Kiara Palma,3000
1100,Taman Tun Dr Ismail,Unfurnished,2,3,1,60000,Sri TTDI,3000
900,Taman Len Seng,Unfurnished,1,1,0,43200,Maxim Residences,1500
1126,Cheras,Fully Furnished,2,2,1,56100,Bukit Pandan Kondominium 2,1350
1268,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pines,3800
1208,Bukit Kiara,Fully Furnished,2,3,2,50480,Mont Kiara Palma,3900
1068,Mont Kiara,Unfurnished,2,2,1,50480,Mont Kiara Bayu,3000
1400,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Astana,4000
1268,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pines,3500
1551,Mont' Kiara,Fully Furnished,3,4,1,50480,Almaspuri,4000
1280,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pelangi,3000
1100,Setapak,Fully Furnished,2,3,2,53300,Residensi Rampai (The Parc Tower),2000
1173,Bangsar,Fully Furnished,2,2,1,59100,Cascadium,3500
2250,KL City Centre,Fully Furnished,4,4,0,50450,The Binjai on the Park,10000
1470,Jalan Kuching,Fully Furnished,2,3,1,51200,Sri Putramas III / Royal Regent,2900
1081,Sentul,Fully Furnished,2,3,2,51100,1 Sentul,1800
1186,Sentul Selatan,Fully Furnished,3,3,2,51000,The Fennel,2900
1241,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Astana,3600
1428,Mont Kiara,Unfurnished,2,3,1,50480,Mont Kiara Pines,3500
1300,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Astana,3000
1280,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pelangi,3800
1280,Bukit Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Palma,3700
1208,Mont Kiara,Fully Furnished,2,2,1,50480,Mont Kiara Sophia,3200
1208,Bukit Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Palma,4000
750,Mont Kiara,Fully Furnished,1,1,1,50480,Mont Kiara Sophia,3000
1208,Mont Kiara,Fully Furnished,2,2,0,50480,Mont Kiara Sophia,3200
684,Dutamas,Fully Furnished,1,1,1,51200,Icon Residence,2800
1710,Mont Kiara,Fully Furnished,2,4,1,50480,Lanai Kiara,3800
2513,Mont Kiara,Fully Furnished,5,4,2,50480,Mont Kiara Meridin,6500
1440,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pines,3000
750,Mont Kiara,Fully Furnished,1,1,1,50480,Mont Kiara Sophia,2400
616,KLCC,Fully Furnished,1,1,1,50250,The Crest,2300
538,Bukit Bintang,Unfurnished,1,1,1,55100,The Robertson,3300
1300,Brickfields,Fully Furnished,3,4,1,50470,Mutiara Residency,3800
908,Setapak,Unfurnished,2,3,2,53200,Ascenda Residence @ Skyarena,1400
689,Bukit Bintang,Fully Furnished,1,1,1,55100,The Robertson,3200
807,Bukit Bintang,Fully Furnished,2,2,2,55100,The Robertson,3900
538,Bukit Bintang,Fully Furnished,1,1,1,55100,The Robertson,3200
1119,KL Eco City,Fully Furnished,2,2,2,59200,Vogue Suites One,4500
1200,Mont Kiara,Fully Furnished,2,3,2,50480,Pavilion Hilltop,4800
1513,Bukit Jalil,Fully Furnished,3,4,3,58200,The Rainz,3300
969,KL Eco City,Fully Furnished,2,2,2,59200,Vogue Suites One,3800
657,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,2600
1076,KL Eco City,Fully Furnished,2,2,1,59200,Vogue Suites One,4200
1186,Sentul Selatan,Fully Furnished,3,3,3,51000,The Fennel,2700
1210,Bukit Bintang,Fully Furnished,2,3,1,50200,City Gardens,3000
1280,Mont Kiara,Fully Furnished,2,3,0,50480,Mont Kiara Pelangi,3300
2513,Mont Kiara,Fully Furnished,3,4,2,50480,Mont Kiara Meridin,7000
3000,KL Sentral,Fully Furnished,4,4,1,50470,Suasana Sentral Condominiums,7500
1100,Bukit Jalil,Fully Furnished,2,3,2,57000,Parkhill Residence,2099
1076,KL Eco City,Unfurnished,2,2,1,59200,Vogue Suites One,4200
1100,Bukit Jalil,Fully Furnished,2,3,2,57000,Parkhill Residence,2500
1018,Bandar Tun Razak,Fully Furnished,2,3,2,56000,The Holmes 1,2200
1119,KL Sentral,Fully Furnished,2,2,1,50450,Suasana Sentral Loft,4000
650,Bukit Bintang,Fully Furnished,1,1,1,50150,The Robertson,2400
1270,Hampshire Park,Fully Furnished,2,2,1,50450,Hampshire Residences,5200
1034,Desa ParkCity,Fully Furnished,1,2,2,52200,One Central Park,4200
1237,Sentul Selatan,Fully Furnished,3,3,2,51000,The Fennel,2800
1044,Taman Sungai Besi,Fully Furnished,2,3,2,57100,Midfields 2,2200
1280,Bukit Kiara,Fully Furnished,2,3,2,50480,Mont Kiara Palma,3200
2153,Bukit Ceylon,Fully Furnished,4,4,2,50200,Verticas Residensi,8000
1598,Mont Kiara,Fully Furnished,3,3,2,50480,Aston Kiara 3,2600
1598,Mont Kiara,Fully Furnished,3,3,2,50480,Aston Kiara 3,2800
1025,Mont Kiara,Fully Furnished,2,2,1,50480,Laman Suria,2400
1085,Desa ParkCity,Fully Furnished,2,2,0,52000,Nadia,3000
1200,Mont Kiara,Fully Furnished,2,3,0,50480,Pavilion Hilltop,4800
1342,Bukit Jalil,Fully Furnished,2,3,3,57000,Savanna Condominium,2500
2068,Bangsar South,Fully Furnished,3,3,0,59100,Begonia @ The Park Residences,5000
680,Bukit Ceylon,Fully Furnished,1,1,1,50200,Verticas Residensi,3500
728,Dutamas,Fully Furnished,1,1,1,51200,Icon Residence,2400
646,Bukit Bintang,Fully Furnished,1,1,1,50150,The Robertson,2600
1500,KL City Centre,Fully Furnished,2,3,1,50450,Corinthian Condominium,3000
1200,Taman Pelangi,Unfurnished,2,3,1,51000,Pelangi Kondominium,1600
1550,KL City Centre,Fully Furnished,3,2,0,50250,Idaman Residence,4300
1200,Mont Kiara,Fully Furnished,3,3,1,50480,Pavilion Hilltop,4800
1400,Bangsar,Fully Furnished,3,3,1,59100,Bangsar Indah,3000
650,Bangsar,Fully Furnished,1,1,1,59100,Bangsar Indah,2200
1551,KL Sentral,Fully Furnished,2,3,0,50470,Suasana Sentral Condominiums,4000
820,Taman Connaught,Fully Furnished,2,3,1,56000,Puncak Banyan,1300
1152,Taman Sungai Besi,Fully Furnished,1,1,2,57100,Midfields 2,1000
1693,KL City Centre,Fully Furnished,3,3,2,50250,Idaman Residence,6000
850,Mont Kiara,Fully Furnished,1,2,0,50480,Tiffani kiara,3000
2110,Desa ParkCity,Fully Furnished,4,4,0,52200,The Northshore Gardens,5500
1237,Sentul Selatan,Fully Furnished,3,3,2,51000,The Fennel,3300
1253,Dutamas,Fully Furnished,2,3,1,52100,28 Dutamas,3000
1195,Brickfields,Fully Furnished,2,2,0,50470,633 Residency,3500
815,Mont Kiara,Fully Furnished,1,1,0,50480,Tiffani kiara,3500
1200,Mont Kiara,Fully Furnished,3,3,2,50480,Pavilion Hilltop,4800
1259,Wangsa Maju,Fully Furnished,2,3,2,53100,Seri Riana Residence,3800
1528,Wangsa Maju,Fully Furnished,2,3,2,53100,Seri Riana Residence,3900
538,Bukit Bintang,Fully Furnished,1,1,0,50150,The Robertson,2800
689,Bukit Bintang,Fully Furnished,1,1,1,50150,The Robertson,3800
538,Bukit Bintang,Fully Furnished,1,1,1,50150,The Robertson,2650
1485,Alam Damai,Fully Furnished,3,3,2,56000,Altitude 236,3500
730,Jalan Klang Lama (Old Klang Road),Unfurnished,1,2,0,58200,Petalz Residences,1550
1044,Taman Sungai Besi,Unfurnished,2,3,2,57100,Midfields 2,1700
1044,Taman Sungai Besi,Unfurnished,2,3,2,57100,Midfields 2,1500
1756,Mont Kiara,Fully Furnished,3,3,0,50480,Tiffani kiara,4800
1800,Taman Tun Dr Ismail,Fully Furnished,3,4,2,60000,Kiara Park,4200
689,KL City,Fully Furnished,1,2,1,55100,Tribeca,5000
660,KL City,Fully Furnished,1,2,1,55100,Tribeca,5000
1048,Mont Kiara,Fully Furnished,2,2,1,50480,Mont Kiara Bayu,3000
1200,Dutamas,Fully Furnished,2,2,2,51200,Icon Residence,4000
1018,Bandar Tun Razak,Unfurnished,3,3,2,56000,The Holmes 1,1300
753,Hampshire Park,Fully Furnished,1,1,1,50450,Hampshire Residences,2800
1209,Mont Kiara,Fully Furnished,2,2,1,50480,Mont Kiara Sophia,3300
1260,Bangsar South,Fully Furnished,2,2,2,59100,Begonia @ The Park Residences,3500
900,Cheras,Fully Furnished,2,3,1,56100,Ketumbar Hill,1500
1100,Bukit Jalil,Fully Furnished,2,3,2,57000,Parkhill Residence,2200
1528,Wangsa Maju,Fully Furnished,2,3,0,53100,Seri Riana Residence,3800
1237,Sentul Selatan,Fully Furnished,3,3,2,51000,The Fennel,2400
1212,Bukit Jalil,Fully Furnished,2,4,3,57000,Savanna Condominium,2300
2153,Bukit Ceylon,Fully Furnished,5,4,2,50200,Verticas Residensi,8500
1280,Bukit Kiara,Fully Furnished,2,3,0,50480,Mont Kiara Palma,3800
800,Sentul,Unfurnished,2,3,1,51100,Sky Awani Residensi 1,1100
619,Taman Len Seng,Unfurnished,1,1,1,43200,Maxim Residences,1100
1478,Dutamas,Fully Furnished,3,2,2,51200,Icon Residence,4000
1280,Bukit Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Palma,3100
1313,Setapak,Unfurnished,2,4,1,53200,Platinum Lake PV 20,1600
140,Setapak,Unfurnished,1,1,0,53100,Platinum Hill PV 2,700
904,Desa ParkCity,Fully Furnished,1,2,2,52200,The Northshore Gardens,3000
1050,Jalan Kuching,Fully Furnished,2,3,1,51200,Sri Putramas,1600
1475,Taman Tun Dr Ismail,Fully Furnished,2,3,1,60000,Villa Flora,2500
1389,Desa ParkCity,Fully Furnished,2,3,2,52200,The Westside Two,3700
1350,Taman Seputeh,Fully Furnished,2,3,1,58000,Robson Condominium,2500
855,Taman Sungai Besi,Fully Furnished,2,2,1,57100,The Vyne,1600
1200,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pines,2600
753,Taman Melawati,Unfurnished,1,1,0,53100,The Veo,1400
753,Taman Melawati,Fully Furnished,1,1,0,53100,The Veo,1600
1862,KL City Centre,Fully Furnished,2,3,1,50450,Corinthian Condominium,5000
935,Jalan Klang Lama (Old Klang Road),Fully Furnished,2,3,2,58200,Petalz Residences,2300
1019,Pantai Hillpark,Fully Furnished,2,3,0,59200,Saville @ The Park,2500
1011,Bandar Baru Sentul,Fully Furnished,2,3,2,51000,Rafflesia,1800
1280,Mont Kiara,Fully Furnished,2,3,0,50480,Mont Kiara Bayu,3000
753,Taman Melawati,Fully Furnished,1,1,1,53100,The Veo,2000
753,Taman Melawati,Fully Furnished,1,2,0,53100,The Veo,1700
1500,Setapak,Unfurnished,2,4,1,53100,Platinum Hill PV 2,2100
1011,Bandar Baru Sentul,Fully Furnished,2,3,2,51000,Rafflesia,1700
760,Taman Melawati,Unfurnished,2,3,1,53100,The Veo,1500
1034,Desa ParkCity,Fully Furnished,1,2,0,52200,One Central Park,4200
1076,KL Eco City,Fully Furnished,2,2,0,59200,Vogue Suites One,4300
1100,Pantai Hillpark,Fully Furnished,2,3,1,59200,Pantai Hillpark 2,2100
1632,Ampang,Fully Furnished,4,4,1,50450,Brunsfield EmbassyView,5000
1050,Taman Len Seng,Fully Furnished,2,3,2,43200,Maxim Residences,2300
1000,Taman Segar,Fully Furnished,2,3,1,56100,Segar Courts,2700
1200,Mont Kiara,Fully Furnished,2,3,0,50480,Mont Kiara Meridin,4000
1087,Batu Caves,Unfurnished,2,3,2,51200,Clarita Tower @ Eco Sky,2900
1040,Mont Kiara,Fully Furnished,2,2,1,50480,Mont Kiara Bayu,2750
1485,Bangsar South,Fully Furnished,2,3,1,59100,Begonia @ The Park Residences,4200
1330,Sentul Selatan,Unfurnished,2,3,1,51000,The Fennel,3200
1250,Taman Danau Desa,Fully Furnished,2,3,1,58100,Danau Permai,2200
1349,KLCC,Fully Furnished,2,1,1,50450,The Troika,5800
1018,Bandar Tun Razak,Fully Furnished,2,3,0,56000,The Holmes 1,2000
1130,Bukit Kiara,Unfurnished,2,3,2,50480,Mont Kiara Palma,2000
1215,Jalan Ipoh,Fully Furnished,2,3,1,52100,Rivercity Condominium,1700
1323,Taman Rainbow,Fully Furnished,2,3,1,51100,Villa Angsana,1800
1215,Jalan Klang Lama (Old Klang Road),Fully Furnished,2,3,1,58200,288 Residences,2000
1550,Brickfields,Fully Furnished,2,4,1,50470,Sri Impian Condominium,3000
1050,Kuala Lumpur,Fully Furnished,2,3,1,50350,Villa Puteri,2350
920,Taman Connaught,Fully Furnished,2,3,1,56000,Angkasa Condominiums,1900
1249,Mont Kiara,Fully Furnished,2,3,1,50480,Angkupuri Condominium,3400
1216,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pines,3100
1089,Sentul,Fully Furnished,2,3,1,51100,The Saffron,2400
660,Bukit Bintang,Fully Furnished,1,1,1,50200,Angkasa Impian 2,2000
855,Taman Sungai Besi,Fully Furnished,2,2,1,57100,The Vyne,2000
1200,Bangsar,Fully Furnished,2,2,1,59100,Sri Penaga,3500
1250,Taman Bukit Desa,Fully Furnished,2,3,1,58100,Desa Villa Condominium,2200
1250,Taman Desa,Fully Furnished,2,3,1,58100,Tiara Faber,1800
1588,Taman Desa,Fully Furnished,2,3,0,58100,OBD Garden Tower,3200
1250,Taman Desa,Fully Furnished,2,3,0,58100,Tiara Faber,2000
1900,Mont Kiara,Unfurnished,2,3,2,50450,Kiaraville,5000
850,Sri Petaling,Unfurnished,2,2,1,57000,Petaling Indah Condominiums,1150
1800,Ampang,Fully Furnished,3,3,0,50450,Brunsfield EmbassyView,6000
1900,Taman U Thant,Fully Furnished,2,2,1,55000,Desa Angkasa,4500
990,Sri Hartamas,Fully Furnished,2,2,0,50480,Puncak Prima,2500
689,Bukit Bintang,Fully Furnished,1,1,1,50150,The Robertson,3200
930,Kepong Baru,Fully Furnished,2,3,1,52100,First Residence (Residensi Unggul),1800
1138,Taman Midah,Fully Furnished,2,3,1,56000,Midah Ria Condominium,1600
1700,Taman Pertama,Fully Furnished,3,4,2,55100,Sky Vista Residency,2500
1200,Jalan Klang Lama (Old Klang Road),Fully Furnished,3,4,2,58200,Petalz Residences,2500
1100,Jalan Klang Lama (Old Klang Road),Fully Furnished,2,4,0,58200,Petalz Residences,2300
1200,Bukit Jalil,Fully Furnished,2,3,0,57000,Parkhill Residence,2300
1000,Taman Sri Endah,Unfurnished,2,3,0,57000,Endah Ria,1100
1000,Sri Petaling,Unfurnished,2,3,0,57000,Endah Regal Condominium,1100
1000,Taman Sri Endah,Unfurnished,2,3,0,57000,Endah Villa,1100
1000,Bukit Jalil,Unfurnished,2,3,0,57000,Vista Komanwel C,1100
1000,Bukit Jalil,Unfurnished,2,3,0,57000,Vista Komanwel B,1100
1000,Bukit Jalil,Unfurnished,2,3,0,57000,Vista Komanwel A,1100
1000,Bukit Jalil,Unfurnished,2,3,0,57000,Green Avenue Condominium,1100
890,Jalan Kuching,Fully Furnished,2,2,0,51200,Sri Putramas III / Royal Regent,1800
1125,Jalan Kuching,Fully Furnished,2,3,0,50000,Royal Domain Sri Putramas 2,1800
1420,Batu Caves,Fully Furnished,2,3,0,68100,Villa Lagenda,1600
1056,Jalan Tun Razak,Fully Furnished,2,2,1,50450,Menara Bintang Goldhill,2800
1313,Taman Danau Kota,Fully Furnished,2,3,1,53300,Platinum Lake PV 13,1900
753,Hampshire Park,Unfurnished,1,1,0,50450,Hampshire Residences,2800
1646,KLCC,Unfurnished,3,2,0,50450,The Troika,5500
980,KLCC,Unfurnished,1,1,0,50450,The Troika,3800
2500,KL City Centre,Unfurnished,2,2,0,50250,Idaman Residence,4600
1003,Bukit Jalil,Unfurnished,2,3,2,58200,Casa Green,1200
1050,Pantai Hillpark,Fully Furnished,2,3,1,59200,Pantai Hillpark 5,2200
600,Bukit Bintang,Fully Furnished,1,1,1,50150,The Robertson,2600
1690,Kampungg Datuk Keramat,Fully Furnished,3,3,1,55000,202 DC (Desa Cahaya),3500
2068,Bangsar South,Fully Furnished,3,3,0,59100,Begonia @ The Park Residences,5400
1700,Bangsar,Fully Furnished,2,3,0,59100,Sri Wangsaria,4300
1117,Bangsar,Unfurnished,2,2,0,59100,Cascadium,3900
700,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,3500
1270,Hampshire Park,Fully Furnished,2,2,1,50450,Hampshire Residences,4500
1270,Hampshire Park,Fully Furnished,2,2,1,50450,Hampshire Residences,4900
1150,Taman Maluri,Fully Furnished,2,3,1,55100,Casa Ria,1800
530,Cheras,Fully Furnished,1,1,1,55100,Pertiwi Indah,1350
950,Taman Danau Desa,Fully Furnished,2,3,1,58100,Danau Idaman,1500
1800,Ampang,Fully Furnished,4,4,0,55000,Lanson Place,4000
1056,Jalan Tun Razak,Fully Furnished,2,2,0,50450,Menara Bintang Goldhill,3800
755,Cheras,Unfurnished,2,2,0,56100,Ketumbar Heights,900
1316,Bandar Menjalara,Fully Furnished,3,4,0,52200,Menjalara 18,2300
2095,Bangsar,Fully Furnished,3,4,0,50450,Acacia @ The Park Residences,6000
1215,Jalan Ipoh,Fully Furnished,2,3,0,52100,Rivercity Condominium,1800
1087,Sentul,Fully Furnished,2,3,0,51100,The Saffron,2200
1050,Taman Len Seng,Fully Furnished,2,3,1,43200,Maxim Residences,2300
858,Ampang Hilir,Fully Furnished,2,3,1,54200,Suria Jelatek,2000
1200,Bukit Kiara,Unfurnished,2,3,1,50480,Mont Kiara Palma,4000
1428,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pines,3800
1200,Dutamas,Fully Furnished,2,2,1,51200,Icon Residence,4500
1430,Taman Segambut,Fully Furnished,2,3,2,52100,Duta Ria,2500
1100,Bukit Jalil,Unfurnished,2,3,2,57000,Parkhill Residence,1499
657,KL Eco City,Fully Furnished,1,1,1,59200,Vogue Suites One,2400
1292,Taman Desa,Fully Furnished,2,2,0,58100,OBD Garden Tower,3000
1110,Taman Desa,Fully Furnished,2,3,2,58100,Casa Desa,2800
1237,Sentul Selatan,Fully Furnished,3,3,2,51000,The Fennel,3000
1511,Bangsar,Fully Furnished,2,3,1,59100,Bangsar Puteri,4000
1465,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pines,3700
1180,Dutamas,Fully Furnished,2,2,0,51200,Icon Residence,4300
1399,Mont Kiara,Fully Furnished,2,3,1,50480,Angkupuri Condominium,3200
1100,Bukit Jalil,Fully Furnished,2,3,0,57000,Parkhill Residence,2500
700,Dutamas,Fully Furnished,1,1,1,51200,Icon Residence,3000
1760,Jalan Kuching,Unfurnished,3,4,0,51200,Sri Putramas III / Royal Regent,3800
1019,Taman Sri Sinar,Unfurnished,2,3,1,51200,Scenaria @ North Kiara Hills,1500
1200,Bangsar,Fully Furnished,2,2,1,59100,Cascadium,3300
1300,Bukit Jalil,Unfurnished,2,3,2,57000,Parkhill Residence,2100
1050,Taman Len Seng,Fully Furnished,3,3,0,43200,Maxim Residences,2300
1050,Taman Len Seng,Fully Furnished,2,3,2,43200,Maxim Residences,2500
1050,Taman Len Seng,Fully Furnished,2,3,1,43200,Maxim Residences,2500
825,Taman Len Seng,Fully Furnished,2,2,1,43200,Maxim Residences,2500
1050,Taman Len Seng,Fully Furnished,2,3,2,43200,Maxim Residences,2200
900,Taman Len Seng,Fully Furnished,2,2,2,43200,Maxim Residences,2000
1195,Dutamas,Fully Furnished,2,2,2,51200,Icon Residence,3600
950,Cheras,Fully Furnished,2,3,1,56000,Bayu Tasik 2,1800
1141,Sri Petaling,Fully Furnished,2,3,1,57000,Endah Regal Condominium,1900
1333,Setapak,Unfurnished,2,4,0,53100,Platinum Hill PV 2,1600
1141,Sri Petaling,Fully Furnished,2,3,0,57000,Endah Regal Condominium,1600
1210,Taman Desa,Fully Furnished,2,3,1,58100,Abadi Villa,1800
945,Kepong,Fully Furnished,2,3,2,52200,Casa Magna,1300
1032,Bukit Jalil,Fully Furnished,2,2,2,58200,The Z Residence,2100
1106,Bandar Tun Razak,Unfurnished,2,3,2,56000,The Holmes 2,1300
1100,Bukit Jalil,Fully Furnished,2,3,2,57000,Parkhill Residence,2450
1280,Taman U Thant,Fully Furnished,2,2,1,55000,Desa Angkasa,3500
1503,KL City Centre,Fully Furnished,2,3,1,50450,Corinthian Condominium,4500
1076,Bandar Manjalara,Fully Furnished,2,3,1,52200,Menara Menjalara,1900
1100,Dutamas,Fully Furnished,2,3,0,51200,Changkat View,2000
1209,Mont Kiara,Fully Furnished,2,2,1,50480,Mont Kiara Sophia,3000
1047,Jalan Tun Razak,Fully Furnished,2,2,1,50450,Menara Bintang Goldhill,2800
2019,KLCC,Fully Furnished,4,4,2,50400,Dua Residency,6800
1528,Wangsa Maju,Fully Furnished,2,3,2,53100,Seri Riana Residence,3500
1000,Ampang Hilir,Fully Furnished,2,3,1,54200,Suria Jelatek,2250
1200,Bangsar,Fully Furnished,2,2,0,59100,Cascadium,2800
1249,Mont Kiara,Fully Furnished,2,2,1,50480,Angkupuri Condominium,3000
1600,Brickfields,Unfurnished,3,4,1,50470,Mutiara Residency,3500
1584,KL Sentral,Fully Furnished,3,3,0,50450,Suasana Sentral Loft,4300
1253,Pantai Hillpark,Fully Furnished,2,3,2,59200,Saville @ The Park,3500
1528,Wangsa Maju,Fully Furnished,2,3,2,53100,Seri Riana Residence,4300
538,Bukit Bintang,Fully Furnished,1,1,1,50150,The Robertson,3200
750,Pantai Dalam,Unfurnished,1,1,0,59200,Pantai Panorama Condominiums,2000
1500,Ampang,Fully Furnished,2,3,0,55000,Lanson Place,4000
1500,Ampang,Fully Furnished,2,3,0,55000,Lanson Place,3500
1800,Desa ParkCity,Fully Furnished,2,4,0,52200,One Central Park,7000
1594,Mont Kiara,Fully Furnished,3,3,2,50480,Kiaramas Sutera,4000
1130,KLCC,Fully Furnished,2,2,1,50450,The Meritz,5000
1200,Bangsar,Fully Furnished,2,2,1,59100,Cascadium,4500
1099,Taman Sungai Besi,Fully Furnished,2,3,2,57100,Midfields 2,2300
753,Taman Melawati,Fully Furnished,1,1,1,53100,The Veo,1800
900,Puchong,Unfurnished,2,3,1,58200,Residensi Puchongmas,1150
2050,Bukit Kiara,Fully Furnished,4,4,0,60000,La Grande Kiara,5000
1222,Bukit OUG,Fully Furnished,2,3,1,58200,Bukit OUG Condominiums,1500
1622,Wangsa Maju,Fully Furnished,3,3,2,53300,Riana Green East,3200
1828,Mont Kiara,Fully Furnished,2,3,2,51200,Ceriaan Kiara,4500
1186,Sentul Selatan,Fully Furnished,3,3,0,51000,The Fennel,3600
1010,Taman City,Fully Furnished,2,3,1,51200,Boulevard Serviced Apartment,2400
1224,Bukit Jalil,Fully Furnished,2,3,2,57000,Vista Komanwel A,2400
1077,Taman Maluri,Fully Furnished,2,3,1,55100,Casa Ria,2200
1399,Bukit Jalil,Fully Furnished,2,3,1,57000,Vista Komanwel C,1800
525,KLCC,Fully Furnished,2,1,0,50250,The Crest,2200
946,Taman Sri Endah,Fully Furnished,2,3,1,57000,Endah Ria,1800
1334,Taman Tun Dr Ismail,Fully Furnished,2,3,2,60000,Kiara View,4000
1200,Setapak,Unfurnished,2,3,1,53000,Plaza Prima Setapak,1400
1406,KL City Centre,Fully Furnished,2,2,1,50450,Mirage Residence,4200
1110,Taman Desa,Fully Furnished,2,3,2,58100,Casa Desa,2200
1468,Mont Kiara,Fully Furnished,2,3,0,50480,Mont Kiara Pines,3500
1313,Taman Danau Kota,Unfurnished,2,4,1,53300,Platinum Lake PV 16,1900
850,KL City Centre,Fully Furnished,1,1,0,50450,Mirage Residence,3500
990,KL Eco City,Fully Furnished,2,2,0,59200,Vogue Suites One,4000
1000,KLCC,Fully Furnished,1,1,0,50450,The Troika,4000
538,Bukit Bintang,Fully Furnished,1,1,1,50150,The Robertson,3000
538,Bukit Bintang,Fully Furnished,1,1,0,50150,The Robertson,3000
538,Bukit Bintang,Fully Furnished,1,1,1,50150,The Robertson,2800
646,Bukit Bintang,Fully Furnished,1,1,0,50150,The Robertson,3300
538,Bukit Bintang,Fully Furnished,1,1,0,50150,The Robertson,3200
807,Bukit Bintang,Fully Furnished,2,2,0,50150,The Robertson,4500
538,Bukit Bintang,Fully Furnished,1,1,0,50150,The Robertson,2900
877,Taman Sentul Utama,Unfurnished,2,3,1,51000,Sentul Utama Condominium,1000
1250,Pantai Dalam,Fully Furnished,1,2,0,59200,Pantai Panorama Condominiums,2500
1079,Taman Desa,Fully Furnished,2,3,1,58100,Casa Desa,2300
1600,Taman Desa,Fully Furnished,2,3,1,58100,OBD Garden Tower,2900
1740,Bangsar,Fully Furnished,2,3,2,59100,Araville,6000
1200,Bangsar,Fully Furnished,2,2,0,59100,Sri Penaga,4000
1300,Pantai Dalam,Unfurnished,2,3,1,59200,Pantai Panorama Condominiums,2500
1400,Pantai Hillpark,Fully Furnished,2,3,1,59200,Andalucia,2500
1039,Pantai Hillpark,Fully Furnished,2,3,1,59200,Pantai Hillpark 2,2000
1367,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Astana,4500
1208,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pines,3200
1280,Bukit Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Palma,4200
775,Jalan Tun Razak,Fully Furnished,1,1,0,50450,Menara Bintang Goldhill,2950
1208,Mont Kiara,Fully Furnished,2,3,1,50480,Mont Kiara Pines,3000
1018,Bandar Tun Razak,Fully Furnished,2,3,2,56000,The Holmes 1,2000
1050,Taman Len Seng,Unfurnished,2,3,1,43200,Maxim Residences,1500
1349,KLCC,Fully Furnished,2,1,1,50450,The Troika,6800
850,KL City Centre,Fully Furnished,1,1,0,50450,Mirage Residence,3300
698,Taman Mas Tiara,Fully Furnished,1,2,0,51200,Kiara East,1700
1095,Bukit Bintang,Fully Furnished,2,2,2,50200,The Manhattan,5200
1280,Mont Kiara,Fully Furnished,3,3,2,50480,Mont Kiara Pines,2600
1503,KL City Centre,Unfurnished,2,3,1,50450,Corinthian Condominium,3300
1432,KL Sentral,Unfurnished,3,3,0,50470,Suasana Sentral Condominiums,3800
1550,KL Sentral,Unfurnished,2,2,0,50450,Suasana Sentral Loft,3500
1100,Brickfields,Fully Furnished,1,2,0,50470,The Pines,2600
650,Bukit Bintang,Fully Furnished,1,1,1,50200,Mutiara Villa,1600
1433,Taman Gembira,Fully Furnished,3,5,2,50820,Desa Residency (Residensi Desa),2300
2416,Bukit Ceylon,Fully Furnished,5,4,2,50200,Verticas Residensi,5500
2416,Bukit Ceylon,Fully Furnished,5,4,2,50200,Verticas Residensi,6500
